"order_insert","anime_id","name","genre","type","episodes","rating","members"
"90",30346,"Doukyuusei (Movie)","Romance, School, Shounen Ai, Slice of Life","Movie","1",8.53,28864
"91",3784,"Evangelion: 2.0 You Can (Not) Advance","Action, Mecha, Sci-Fi","Movie","1",8.53,182224
"92",13125,"Shinsekai yori","Drama, Horror, Mystery, Sci-Fi, Supernatural","TV","25",8.53,288376
"93",12029,"Uchuu Senkan Yamato 2199","Action, Drama, Military, Sci-Fi, Space","OVA","26",8.53,44223
"94",14397,"Chihayafuru 2","Drama, Game, Josei, Slice of Life, Sports","TV","25",8.52,86074
"95",10087,"Fate/Zero","Action, Fantasy, Supernatural","TV","13",8.51,453630
"96",14719,"JoJo no Kimyou na Bouken (TV)","Action, Adventure, Shounen, Supernatural, Vampire","TV","26",8.51,190197
"97",9756,"Mahou Shoujo Madoka★Magica","Drama, Magic, Psychological, Thriller","TV","12",8.51,462974
"98",10165,"Nichijou","Comedy, School, Slice of Life","TV","26",8.52,254436
"99",13601,"Psycho-Pass","Action, Police, Psychological, Sci-Fi","TV","22",8.5,509109
"100",22789,"Barakamon","Comedy, Slice of Life","TV","12",8.5,225927
"101",30230,"Diamond no Ace: Second Season","Comedy, School, Shounen, Sports","TV","51",8.5,38531
"102",18115,"Magi: The Kingdom of Magic","Action, Adventure, Fantasy, Magic, Shounen","TV","25",8.5,245026
"103",11981,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari","Drama, Magic, Psychological, Thriller","Movie","1",8.5,135735
"104",11917,"Major: World Series","Comedy, Drama, Sports","OVA","2",8.5,13405
"105",205,"Samurai Champloo","Action, Adventure, Comedy, Historical, Samurai, Shounen","TV","26",8.5,390076
"106",32282,"Shokugeki no Souma: Ni no Sara","Ecchi, School, Shounen","TV","13",8.5,185015
"107",6594,"Katanagatari","Action, Adventure, Historical, Martial Arts, Romance","TV","12",8.49,207241
"108",11979,"Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari","Drama, Magic, Psychological, Thriller","Movie","1",8.49,85361
"109",7655,"Major S6","Comedy, Drama, Sports","TV","25",8.49,24788
"110",2246,"Mononoke","Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural","TV","12",8.49,88850
"111",25835,"Shirobako","Comedy, Drama","TV","24",8.49,146895
"112",2921,"Ashita no Joe 2","Drama, Sports","TV","47",8.48,6259
"113",136,"Hunter x Hunter","Action, Adventure, Shounen, Super Power","TV","62",8.48,166255
"114",30503,"Noragami Aragoto","Action, Adventure, Shounen, Supernatural","TV","13",8.48,299434
"115",12531,"Sakamichi no Apollon","Drama, Josei, Music, Romance, School","TV","12",8.48,146592
"116",523,"Tonari no Totoro","Adventure, Comedy, Supernatural","Movie","1",8.48,271484
"117",467,"Ghost in the Shell: Stand Alone Complex","Action, Mecha, Military, Police, Sci-Fi, Seinen","TV","26",8.47,194491
"118",572,"Kaze no Tani no Nausicaä","Adventure, Fantasy","Movie","1",8.47,143273
"119",19815,"No Game No Life","Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural","TV","12",8.47,602291
"120",2559,"Romeo no Aoi Sora","Adventure, Drama, Historical, Slice of Life","TV","33",8.47,15074
"121",392,"Yuu☆Yuu☆Hakusho","Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen","TV","112",8.47,195017
"122",486,"Kino no Tabi: The Beautiful World","Action, Adventure, Slice of Life","TV","13",8.46,102822
"123",11771,"Kuroko no Basket","Comedy, School, Shounen, Sports","TV","25",8.46,338315
"124",1698,"Nodame Cantabile","Comedy, Drama, Josei, Music, Romance, Slice of Life","TV","23",8.46,157025
"125",5341,"Ookami to Koushinryou II","Adventure, Fantasy, Historical, Romance","TV","12",8.46,210491
"126",25781,"Shingeki no Kyojin: Kuinaki Sentaku","Action, Fantasy, Shoujo, Supernatural","OVA","2",8.45,92543
"127",10863,"Steins;Gate: Oukoubakko no Poriomania","Sci-Fi, Thriller","Special","1",8.46,159548
"128",28701,"Fate/stay night: Unlimited Blade Works 2nd Season","Action, Fantasy, Magic, Shounen, Supernatural","TV","13",8.45,205987
"129",5420,"Kemono no Souja Erin","Drama, Fantasy","TV","50",8.45,36751
"130",9260,"Kizumonogatari I: Tekketsu-hen","Mystery, Supernatural, Vampire","Movie","1",8.45,99579
"131",32,"Neon Genesis Evangelion: The End of Evangelion","Dementia, Drama, Mecha, Psychological, Sci-Fi","Movie","1",8.45,215630
"132",4224,"Toradora!","Comedy, Romance, School, Slice of Life","TV","25",8.45,633817
"133",2236,"Toki wo Kakeru Shoujo","Adventure, Drama, Romance, Sci-Fi","Movie","1",8.44,289206
"134",2685,"Tsubasa: Tokyo Revelations","Action, Adventure, Drama, Fantasy, Romance, Shounen","OVA","3",8.44,57963
"135",31181,"Owarimonogatari","Comedy, Mystery, Supernatural","TV","12",8.43,107855
"136",45,"Rurouni Kenshin: Meiji Kenkaku Romantan","Action, Adventure, Comedy, Historical, Romance, Samurai","TV","94",8.43,218928
"137",2418,"Stranger: Mukou Hadan","Action, Adventure, Historical, Samurai","Movie","1",8.43,125503
"138",1365,"Detective Conan Movie 06: The Phantom of Baker Street","Adventure, Mystery, Police, Shounen","Movie","1",8.42,28462
"139",22297,"Fate/stay night: Unlimited Blade Works","Action, Fantasy, Magic, Shounen, Supernatural","TV","12",8.42,267484
"140",627,"Major S1","Comedy, Drama, Shounen, Sports","TV","26",8.42,41061
"141",10937,"Mobile Suit Gundam: The Origin","Action, Mecha, Military, Sci-Fi, Shounen, Space","OVA","6",8.42,15420
"142",23755,"Nanatsu no Taizai","Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural","TV","24",8.42,331627
"143",4081,"Natsume Yuujinchou","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","TV","13",8.42,210736
"144",4155,"One Piece Film: Strong World","Action, Adventure, Comedy, Drama, Fantasy, Shounen","Movie","1",8.42,85020
"145",1889,"Higurashi no Naku Koro ni Kai","Mystery, Psychological, Supernatural, Thriller","TV","24",8.41,218101
"146",137,"Hunter x Hunter OVA","Action, Adventure, Shounen, Super Power","OVA","8",8.41,53168
"147",139,"Hunter x Hunter: Greed Island Final","Action, Adventure, Shounen, Super Power","OVA","14",8.41,55787
"148",23317,"Kuroshitsuji: Book of Murder","Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural","OVA","2",8.41,67261
"149",558,"Major S2","Comedy, Drama, Shounen, Sports","TV","26",8.41,30689
"150",5040,"One Outs","Psychological, Seinen, Sports","TV","25",8.41,83056
"151",57,"Beck","Comedy, Drama, Music, Shounen, Slice of Life","TV","26",8.4,148328
"152",33,"Berserk","Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural","TV","25",8.4,226430
"153",5,"Cowboy Bebop: Tengoku no Tobira","Action, Drama, Mystery, Sci-Fi, Space","Movie","1",8.4,137636
"154",1842,"Major S3","Drama, Shounen, Sports","TV","26",8.4,29528
